16	16	822	0	77.red-88-5-206.staticip.rima-tde.net
16	2	4	1	83.50.141.201
16	16	58	0	97.pool85-54-128.dynamic.orange.es
16	16	63	0	livebot-65-55-235-162.search.live.com
15	15	60	0	100.red-83-34-134.dynamicip.rima-tde.net
15	15	60	0	118.pool85-61-69.dynamic.orange.es
15	15	60	0	129-15-16-190.fibertel.com.ar
15	15	60	0	13.pool85-53-193.dynamic.orange.es
15	15	60	0	132.red-83-37-135.dynamicip.rima-tde.net
15	15	60	0	134.pool85-53-196.dynamic.orange.es
15	15	60	0	138.red-83-43-197.dynamicip.rima-tde.net
15	15	60	0	157.60.217.87.dynamic.jazztel.es
15	15	60	0	169.red-88-22-36.staticip.rima-tde.net
15	15	60	0	175.red-88-22-221.staticip.rima-tde.net
15	15	58	0	182.pool85-59-32.dynamic.orange.es
15	15	60	0	190-82-249-19.adsl.cust.tie.cl
15	15	60	0	190.160.212.146
15	15	60	0	190.42.141.5
15	15	60	0	190.pool85-59-97.dynamic.orange.es
15	15	60	0	200-127-64-190.cab.prima.net.ar
15	15	60	0	200-55-116-218.dsl.prima.net.ar
15	15	58	0	202.106.180.35
15	15	60	0	213.231.123.138.dyn.user.ono.com
15	15	58	0	227.pool85-55-6.dynamic.orange.es
15	15	60	0	242.red-80-36-206.staticip.rima-tde.net
15	15	60	0	243.red-80-34-157.staticip.rima-tde.net
15	15	63	0	252.red-83-38-87.dynamicip.rima-tde.net
15	15	60	0	34.red-80-58-205.staticip.rima-tde.net
15	15	60	0	4.red-81-35-20.dynamicip.rima-tde.net
15	15	60	0	43.red-83-38-125.dynamicip.rima-tde.net
15	15	60	0	43.red-88-5-198.staticip.rima-tde.net
15	15	60	0	53.red-80-58-205.staticip.rima-tde.net
15	15	60	0	59-21-231-201.fibertel.com.ar
15	15	60	0	59.red-81-39-155.dynamicip.rima-tde.net
15	15	60	0	6.red-83-54-65.dynamicip.rima-tde.net
15	15	58	0	61.red-81-46-108.staticip.rima-tde.net
15	15	60	0	62.42.83.129.dyn.user.ono.com
15	15	58	0	62.57.103.48.dyn.user.ono.com
15	15	60	0	62.57.88.89.static.user.ono.com
15	15	60	0	63.red-83-36-64.dynamicip.rima-tde.net
15	15	60	0	68.pool85-52-192.static.orange.es
15	15	60	0	72.red-81-39-145.dynamicip.rima-tde.net
15	15	60	0	72.red-83-57-80.dynamicip.rima-tde.net
15	15	58	0	80.224.160.200.dyn.user.ono.com
15	15	60	0	80.31.38.246
15	15	60	0	81.202.233.106.dyn.user.ono.com
15	15	58	0	81.203.185.119.dyn.user.ono.com
15	15	60	0	83.173.146.174.dyn.user.ono.com
15	15	60	0	84.120.142.158.dyn.user.ono.com
15	15	60	0	89.129.72.198
15	15	60	0	98.red-83-50-88.dynamicip.rima-tde.net
15	15	63	0	altos2.gobiernodecanarias.org
15	15	61	0	client-190.40.34.199.speedy.net.pe
15	15	60	0	cm-83-97-200-32.telecable.es
15	15	60	0	cm75091.red91-117.mundo-r.com
15	15	60	0	dsl-189-136-149-132.prod-infinitum.com.mx
15	15	60	0	dsl-189-162-107-22.prod-infinitum.com.mx
